LGA_NAME,REGION,EXPENDITURE_PER_ADULT,EGM_DENSITY,SEIFA_SCORE,UNEMPLOYMENT_RATE,YEAR
Shire of Murrindindi,Country,127.79, 2 , 982.25 ,4.33%,2017
Shire of Mitchell,Country,566.36, 7 , 979.03 ,5.93%,2017
Shire of Towong,Country,55.75, 2 , 982.47 ,4.54%,2017
Shire of Alpine,Country,243.49, 6 , 969.92 ,3.44%,2017
Shire of Moira,Country,166.11, 5 , 936.27 ,6.34%,2017
Shire of Strathbogie,Country,149.93, 4 , 956.36 ,4.23%,2017
Rural City of Benalla,Country,480.37, 10 , 944.60 ,5.16%,2017
Shire of Gannawarra,Country,244.24, 6 , 940.40 ,3.78%,2017
Shire of Campaspe,Country,299.14, 7 , 947.07 ,6.15%,2017
Shire of Glenelg,Country,443.04, 8 , 943.44 ,5.60%,2017
Shire of Southern Grampians,Country,504.64, 6 , 977.60 ,4.51%,2017
Shire of Wellington,Country,670.18, 10 , 960.85 ,6.23%,2017
Rural City of Wodonga,Country,249.43, 4 , 962.94 ,5.46%,2017
City of Warrnambool,Country,710.06, 9 , 969.80 ,4.63%,2017
City of Greater Bendigo,Country,551.66, 7 , 967.35 ,4.34%,2017
City of Ballarat,Country,678.15, 8 , 969.03 ,4.44%,2017
Rural City of Swan Hill,Country,476.20, 10 , 939.41 ,4.34%,2017
City of Greater Shepparton,Country,643.50, 7 , 942.37 ,7.17%,2017
Rural City of Mildura,Country,618.08, 7 , 924.07 ,6.53%,2017
Shire of East Gippsland,Country,650.19, 9 , 942.21 ,8.16%,2017
Shire of Bass Coast,Country,598.93, 7 , 959.75 ,7.21%,2017
City of Latrobe,Country,763.73, 9 , 929.15 ,9.78%,2017
Shire of Surf Coast,Country,130.02, 3 ," 1,059.78 ",2.68%,2017
Shire of South Gippsland,Country,301.26, 5 , 980.51 ,4.41%,2017
Shire of Macedon Ranges,Country,267.05, 3 ," 1,046.85 ",2.53%,2017
Rural City of Horsham,Country,597.61, 10 , 970.80 ,3.85%,2017
Shire of Baw Baw,Country,415.64, 6 , 983.45 ,4.61%,2017
Rural City of Wangaratta,Country,412.76, 6 , 965.11 ,4.66%,2017
City of Melbourne,Metro,615.22, 6 ," 1,050.96 ",3.81%,2017
City of Moreland,Metro,433.87, 5 , 999.81 ,6.82%,2017
City of Darebin,Metro,637.53, 6 , 994.85 ,6.95%,2017
City of Boroondara,Metro,135.22, 1 ," 1,114.30 ",4.01%,2017
City of Whitehorse,Metro,387.42, 3 ," 1,057.21 ",5.93%,2017
City of Manningham,Metro,546.65, 5 ," 1,081.47 ",5.83%,2017
City of Banyule,Metro,549.40, 6 ," 1,044.18 ",4.52%,2017
City of Maroondah,Metro,723.50, 8 ," 1,034.28 ",4.89%,2017
City of Knox,Metro,598.82, 6 ," 1,038.98 ",4.13%,2017
City of Monash,Metro,701.45, 6 ," 1,053.66 ",3.19%,2017
City of Port Phillip,Metro,288.06, 4 ," 1,076.77 ",4.41%,2017
City of Kingston,Metro,660.41, 7 ," 1,033.78 ",5.56%,2017
City of Greater Dandenong,Metro,954.27, 8 , 905.17 ,10.24%,2017
City of Frankston,Metro,582.53, 5 , 982.80 ,6.64%,2017
City of Casey,Metro,554.93, 4 , 997.43 ,6.67%,2017
Shire of Cardinia,Metro,375.81, 5 ," 1,008.24 ",6.21%,2017
Shire of Yarra Ranges,Metro,245.05, 4 ," 1,022.04 ",4.56%,2017
City of Hume,Metro,699.65, 5 , 950.28 ,10.27%,2017
City of Brimbank,Metro,840.98, 6 , 931.50 ,11.34%,2017
Shire of Melton,Metro,589.73, 5 , 993.08 ,8.97%,2017
City of Hobsons Bay,Metro,628.96, 7 , 999.92 ,6.29%,2017
City of Wyndham,Metro,600.55, 5 ," 1,007.19 ",7.55%,2017
Shire of Mornington Peninsula,Metro,664.12, 7 ," 1,011.43 ",4.70%,2017
City of Yarra,Metro,381.42, 4 ," 1,041.94 ",5.73%,2017
City of Maribyrnong,Metro,769.94, 6 , 988.43 ,7.74%,2017
City of Stonnington,Metro,242.29, 3 ," 1,097.82 ",3.01%,2017
City of Glen Eira,Metro,642.21, 7 ," 1,073.79 ",4.02%,2017
City of Bayside,Metro,182.57, 3 ," 1,107.97 ",3.26%,2017
City of Moonee Valley,Metro,765.00, 7 ," 1,030.54 ",5.11%,2017
Shire of Buloke,Country,0.00, -   , 950.70 ,4.06%,2017
Shire of Golden Plains,Country,0.00, -   ," 1,011.08 ",3.17%,2017
Shire of Hindmarsh,Country,0.00, -   , 928.90 ,4.14%,2017
Shire of Indigo,Country,0.00, -   , 997.15 ,3.38%,2017
Shire of Loddon,Country,0.00, -   , 925.53 ,5.16%,2017
Shire of Moyne,Country,0.00, -   ," 1,004.93 ",3.05%,2017
Shire of Pyrenees,Country,0.00, -   , 929.78 ,4.41%,2017
Shire of West Wimmera,Country,0.00, -   , 977.10 ,3.02%,2017
Shire of Yarriambiack,Country,0.00, -   , 942.54 ,4.97%,2017
City of Whittlesea,Metro,678.63, 5 , 983.36 ,6.10%,2016
Shire of Nillumbik,Metro,171.19, 2 ," 1,099.03 ",2.06%,2016
Rural City of Ararat,Country,565.06, 10 , 938.42 ,7.03%,2016
Shire of Northern Grampians,Country,449.23, 7 , 925.61 ,5.68%,2016
Borough of Queenscliffe,Country,535.81, 12 ," 1,047.25 ",2.70%,2016
City of Greater Geelong,Country,613.32, 7 , 980.37 ,5.92%,2016
Shire of Corangamite,Country,223.56, 5 , 970.41 ,2.78%,2016
Shire of Colac-Otway,Country,474.58, 7 , 946.48 ,3.67%,2016
Shire of Hepburn,Country,216.41, 4 , 967.11 ,5.55%,2016
Shire of Moorabool,Country,328.66, 5 , 994.71 ,6.33%,2016
Shire of Central Goldfields,Country,695.39, 10 , 887.90 ,12.06%,2016
Shire of Mount Alexander,Country,209.32, 2 , 969.86 ,6.92%,2016
Shire of Mansfield,Country,224.93, 6 , 991.67 ,3.23%,2016
Shire of Murrindindi,Country,124.40, 2 , 982.25 ,4.22%,2016
Shire of Mitchell,Country,550.06, 8 , 979.03 ,5.93%,2016
Shire of Towong,Country,62.49, 2 , 982.47 ,5.00%,2016
Shire of Alpine,Country,235.24, 6 , 969.92 ,3.74%,2016
Shire of Moira,Country,188.33, 4 , 936.27 ,4.44%,2016
Shire of Strathbogie,Country,160.35, 4 , 956.36 ,4.49%,2016
Rural City of Benalla,Country,496.35, 10 , 944.60 ,5.70%,2016
Shire of Gannawarra,Country,218.33, 6 , 940.40 ,4.55%,2016
Shire of Campaspe,Country,294.23, 7 , 947.07 ,4.25%,2016
Shire of Glenelg,Country,434.82, 8 , 943.44 ,4.88%,2016
Shire of Southern Grampians,Country,488.30, 6 , 977.60 ,3.93%,2016
Shire of Wellington,Country,669.45, 10 , 960.85 ,6.92%,2016
Rural City of Wodonga,Country,260.24, 5 , 962.94 ,5.91%,2016
City of Warrnambool,Country,709.36, 9 , 969.80 ,3.78%,2016
City of Greater Bendigo,Country,574.87, 7 , 967.35 ,7.18%,2016
City of Ballarat,Country,691.56, 8 , 969.03 ,6.51%,2016
Rural City of Swan Hill,Country,483.27, 10 , 939.41 ,5.05%,2016
City of Greater Shepparton,Country,656.63, 7 , 942.37 ,4.91%,2016
Rural City of Mildura,Country,634.61, 7 , 924.07 ,7.56%,2016
Shire of East Gippsland,Country,664.13, 9 , 942.21 ,9.00%,2016
Shire of Bass Coast,Country,621.40, 8 , 959.75 ,8.31%,2016
City of Latrobe,Country,766.32, 9 , 929.15 ,10.66%,2016
Shire of Surf Coast,Country,129.34, 3 ," 1,059.78 ",2.75%,2016
Shire of South Gippsland,Country,302.87, 5 , 980.51 ,5.10%,2016
Shire of Macedon Ranges,Country,262.02, 3 ," 1,046.85 ",3.15%,2016
Rural City of Horsham,Country,605.93, 10 , 970.80 ,4.31%,2016
Shire of Baw Baw,Country,401.49, 5 , 983.45 ,5.36%,2016
Rural City of Wangaratta,Country,391.32, 6 , 965.11 ,5.14%,2016
City of Melbourne,Metro,653.19, 6 ," 1,050.96 ",3.85%,2016
City of Moreland,Metro,456.25, 5 , 999.81 ,6.46%,2016
City of Darebin,Metro,674.97, 6 , 994.85 ,6.27%,2016
City of Boroondara,Metro,141.68, 1 ," 1,114.30 ",3.88%,2016
City of Whitehorse,Metro,394.99, 3 ," 1,057.21 ",5.88%,2016
City of Manningham,Metro,576.47, 5 ," 1,081.47 ",5.77%,2016
City of Banyule,Metro,555.19, 6 ," 1,044.18 ",3.70%,2016
City of Maroondah,Metro,730.28, 8 ," 1,034.28 ",5.30%,2016
City of Knox,Metro,593.54, 6 ," 1,038.98 ",4.65%,2016
City of Monash,Metro,723.28, 6 ," 1,053.66 ",3.82%,2016
City of Port Phillip,Metro,297.10, 4 ," 1,076.77 ",4.22%,2016
City of Kingston,Metro,671.99, 7 ," 1,033.78 ",5.79%,2016
City of Greater Dandenong,Metro,974.53, 8 , 905.17 ,12.38%,2016
City of Frankston,Metro,590.83, 5 , 982.80 ,6.05%,2016
City of Casey,Metro,561.09, 4 , 997.43 ,7.97%,2016
Shire of Cardinia,Metro,363.13, 4 ," 1,008.24 ",7.00%,2016
Shire of Yarra Ranges,Metro,246.43, 4 ," 1,022.04 ",4.95%,2016
City of Hume,Metro,720.76, 6 , 950.28 ,9.08%,2016
City of Brimbank,Metro,904.96, 6 , 931.50 ,10.02%,2016
Shire of Melton,Metro,600.68, 5 , 993.08 ,7.66%,2016
City of Hobsons Bay,Metro,632.67, 8 , 999.92 ,5.85%,2016
City of Wyndham,Metro,621.29, 6 ," 1,007.19 ",6.72%,2016
Shire of Mornington Peninsula,Metro,669.31, 7 ," 1,011.43 ",4.31%,2016
City of Yarra,Metro,417.78, 4 ," 1,041.94 ",5.88%,2016
City of Maribyrnong,Metro,782.17, 6 , 988.43 ,7.19%,2016
City of Stonnington,Metro,251.25, 3 ," 1,097.82 ",3.03%,2016
City of Glen Eira,Metro,650.16, 7 ," 1,073.79 ",4.10%,2016
City of Bayside,Metro,171.28, 3 ," 1,107.97 ",3.23%,2016
City of Moonee Valley,Metro,774.71, 8 ," 1,030.54 ",4.91%,2016
Shire of Buloke,Country,0.00, -   , 950.70 ,5.11%,2016
Shire of Golden Plains,Country,0.00, -   ," 1,011.08 ",3.66%,2016
Shire of Hindmarsh,Country,0.00, -   , 928.90 ,5.41%,2016
Shire of Indigo,Country,0.00, -   , 997.15 ,3.72%,2016
Shire of Loddon,Country,0.00, -   , 925.53 ,7.93%,2016
Shire of Moyne,Country,0.00, -   ," 1,004.93 ",2.33%,2016
Shire of Pyrenees,Country,0.00, -   , 929.78 ,7.41%,2016
Shire of West Wimmera,Country,0.00, -   , 977.10 ,3.59%,2016
Shire of Yarriambiack,Country,0.00, -   , 942.54 ,5.97%,2016
City of Whittlesea,Metro,697.68, 5 , 983.36 ,7.87%,2015
Shire of Nillumbik,Metro,155.89, 2 ," 1,099.03 ",2.75%,2015
Rural City of Ararat,Country,592.49, 10 , 938.42 ,5.97%,2015
Shire of Northern Grampians,Country,513.57, 8 , 925.61 ,5.49%,2015
Borough of Queenscliffe,Country,568.03, 12 ," 1,047.25 ",3.93%,2015
City of Greater Geelong,Country,625.08, 8 , 980.37 ,8.24%,2015
Shire of Corangamite,Country,243.19, 5 , 970.41 ,3.71%,2015
Shire of Colac-Otway,Country,462.07, 7 , 946.48 ,5.70%,2015
Shire of Hepburn,Country,215.89, 4 , 967.11 ,3.88%,2015
Shire of Moorabool,Country,333.14, 5 , 994.71 ,5.66%,2015
Shire of Central Goldfields,Country,676.67, 10 , 887.90 ,9.04%,2015
Shire of Mount Alexander,Country,217.00, 2 , 969.86 ,6.42%,2015
Shire of Mansfield,Country,262.87, 6 , 991.67 ,3.85%,2015
Shire of Murrindindi,Country,131.97, 2 , 982.25 ,5.14%,2015
Shire of Mitchell,Country,537.26, 8 , 979.03 ,7.71%,2015
Shire of Towong,Country,69.72, 2 , 982.47 ,5.76%,2015
Shire of Alpine,Country,291.77, 7 , 969.92 ,4.44%,2015
Shire of Moira,Country,173.13, 4 , 936.27 ,6.67%,2015
Shire of Strathbogie,Country,163.56, 4 , 956.36 ,5.21%,2015
Rural City of Benalla,Country,452.33, 10 , 944.60 ,7.27%,2015
Shire of Gannawarra,Country,191.91, 6 , 940.40 ,4.24%,2015
Shire of Campaspe,Country,288.39, 7 , 947.07 ,6.42%,2015
Shire of Glenelg,Country,459.10, 8 , 943.44 ,6.34%,2015
Shire of Southern Grampians,Country,513.57, 6 , 977.60 ,5.43%,2015
Shire of Wellington,Country,656.79, 9 , 960.85 ,4.59%,2015
Rural City of Wodonga,Country,259.33, 5 , 962.94 ,7.50%,2015
City of Warrnambool,Country,706.59, 9 , 969.80 ,5.07%,2015
City of Greater Bendigo,Country,572.61, 8 , 967.35 ,7.10%,2015
City of Ballarat,Country,685.70, 8 , 969.03 ,5.08%,2015
Rural City of Swan Hill,Country,422.40, 9 , 939.41 ,4.93%,2015
City of Greater Shepparton,Country,656.06, 7 , 942.37 ,8.04%,2015
Rural City of Mildura,Country,638.65, 7 , 924.07 ,7.51%,2015
Shire of East Gippsland,Country,637.64, 9 , 942.21 ,5.97%,2015
Shire of Bass Coast,Country,611.19, 8 , 959.75 ,5.57%,2015
City of Latrobe,Country,768.59, 9 , 929.15 ,6.92%,2015
Shire of Surf Coast,Country,130.15, 3 ," 1,059.78 ",3.83%,2015
Shire of South Gippsland,Country,301.99, 5 , 980.51 ,3.33%,2015
Shire of Macedon Ranges,Country,250.75, 3 ," 1,046.85 ",3.30%,2015
Rural City of Horsham,Country,626.68, 10 , 970.80 ,4.22%,2015
Shire of Baw Baw,Country,369.24, 5 , 983.45 ,3.62%,2015
Rural City of Wangaratta,Country,384.54, 6 , 965.11 ,6.42%,2015
City of Melbourne,Metro,647.23, 6 ," 1,050.96 ",4.87%,2015
City of Moreland,Metro,467.85, 5 , 999.81 ,7.45%,2015
City of Darebin,Metro,682.75, 6 , 994.85 ,7.82%,2015
City of Boroondara,Metro,150.07, 1 ," 1,114.30 ",4.02%,2015
City of Whitehorse,Metro,388.21, 3 ," 1,057.21 ",6.14%,2015
City of Manningham,Metro,581.84, 5 ," 1,081.47 ",6.05%,2015
City of Banyule,Metro,543.88, 6 ," 1,044.18 ",4.89%,2015
City of Maroondah,Metro,704.11, 8 ," 1,034.28 ",5.61%,2015
City of Knox,Metro,593.14, 6 ," 1,038.98 ",5.16%,2015
City of Monash,Metro,753.13, 6 ," 1,053.66 ",3.85%,2015
City of Port Phillip,Metro,311.03, 4 ," 1,076.77 ",5.03%,2015
City of Kingston,Metro,663.06, 7 ," 1,033.78 ",6.56%,2015
City of Greater Dandenong,Metro,978.61, 8 , 905.17 ,12.36%,2015
City of Frankston,Metro,585.48, 5 , 982.80 ,7.87%,2015
City of Casey,Metro,555.26, 4 , 997.43 ,7.87%,2015
Shire of Cardinia,Metro,353.78, 5 ," 1,008.24 ",6.78%,2015
Shire of Yarra Ranges,Metro,247.77, 4 ," 1,022.04 ",5.54%,2015
City of Hume,Metro,735.67, 6 , 950.28 ,8.94%,2015
City of Brimbank,Metro,910.82, 6 , 931.50 ,9.93%,2015
Shire of Melton,Metro,610.67, 5 , 993.08 ,7.62%,2015
City of Hobsons Bay,Metro,630.87, 8 , 999.92 ,5.80%,2015
City of Wyndham,Metro,621.20, 6 ," 1,007.19 ",6.96%,2015
Shire of Mornington Peninsula,Metro,648.79, 7 ," 1,011.43 ",5.62%,2015
City of Yarra,Metro,404.63, 4 ," 1,041.94 ",7.36%,2015
City of Maribyrnong,Metro,786.42, 6 , 988.43 ,7.26%,2015
City of Stonnington,Metro,246.71, 3 ," 1,097.82 ",4.04%,2015
City of Glen Eira,Metro,635.12, 7 ," 1,073.79 ",5.15%,2015
City of Bayside,Metro,202.43, 3 ," 1,107.97 ",4.02%,2015
City of Moonee Valley,Metro,784.62, 8 ," 1,030.54 ",5.61%,2015
Shire of Buloke,Country,0.00, -   , 950.70 ,4.41%,2015
Shire of Golden Plains,Country,0.00, -   ," 1,011.08 ",4.03%,2015
Shire of Hindmarsh,Country,0.00, -   , 928.90 ,4.86%,2015
Shire of Indigo,Country,0.00, -   , 997.15 ,4.67%,2015
Shire of Loddon,Country,0.00, -   , 925.53 ,7.14%,2015
Shire of Moyne,Country,0.00, -   ," 1,004.93 ",3.12%,2015
Shire of Pyrenees,Country,0.00, -   , 929.78 ,4.83%,2015
Shire of West Wimmera,Country,0.00, -   , 977.10 ,3.56%,2015
Shire of Yarriambiack,Country,0.00, -   , 942.54 ,5.14%,2015
